subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230373, 2, 21, 1, 2, 4, 0, 882 
1230373, 2, 22, 2, 2, 8, 0, 662 
1230373, 2, 23, 2, 1, 16, 0, 1711 
1230373, 2, 24, 2, 2, 8, 0, 564 
1230373, 2, 25, 2, 1, 16, 0, 722 
1230373, 2, 26, 2, 1, 8, 0, 1356 
1230373, 2, 27, 1, 2, 8, 0, 784 
1230373, 2, 28, 1, 1, 4, 0, 1043 
1230373, 2, 29, 1, 2, 16, 0, 1019 
1230373, 2, 30, 1, 1, 4, 0, 1010 
1230373, 2, 31, 1, 2, 4, 0, 658 
1230373, 2, 32, 2, 2, 16, 0, 644 
1230373, 2, 33, 1, 2, 4, 0, 658 
1230373, 2, 34, 2, 2, 4, 0, 596 
1230373, 2, 35, 1, 2, 8, 0, 609 
1230373, 2, 36, 1, 1, 16, 1, 996 
1230373, 2, 37, 1, 1, 16, 1, 1346 
1230373, 2, 38, 1, 1, 8, 1, 910 
1230373, 2, 39, 1, 1, 16, 0, 2137 
1230373, 2, 40, 1, 2, 16, 0, 857 
1230373, 2, 41, 2, 1, 4, 0, 877 
1230373, 2, 42, 1, 1, 8, 1, 1394 
1230373, 2, 43, 1, 1, 4, 0, 1094 
1230373, 2, 44, 2, 1, 4, 1, 1061 
1230373, 2, 45, 2, 2, 4, 0, 716 
1230373, 2, 46, 1, 1, 16, 0, 1535 
1230373, 2, 47, 2, 2, 4, 0, 731 
1230373, 2, 48, 2, 2, 8, 0, 962 
1230373, 2, 49, 2, 2, 4, 0, 596 
1230373, 2, 50, 2, 2, 4, 0, 641 
1230373, 2, 51, 2, 2, 4, 0, 704 
1230373, 2, 52, 1, 1, 8, 0, 1247 
1230373, 2, 53, 2, 1, 16, 0, 2401 
1230373, 2, 54, 1, 1, 4, 0, 962 
1230373, 2, 55, 2, 1, 8, 0, 1476 
1230373, 2, 56, 2, 2, 4, 0, 705 
1230373, 2, 57, 1, 1, 16, 0, 1938 
1230373, 2, 58, 2, 2, 4, 0, 763 
1230373, 2, 59, 1, 2, 4, 0, 804 
1230373, 2, 60, 1, 2, 4, 0, 628 
1230373, 2, 61, 2, 2, 16, 0, 882 
1230373, 2, 62, 1, 2, 16, 0, 594 
1230373, 2, 63, 2, 2, 16, 0, 817 
1230373, 2, 64, 1, 2, 16, 0, 680 
1230373, 2, 65, 1, 1, 8, 0, 1367 
1230373, 2, 66, 2, 2, 4, 0, 739 
1230373, 2, 67, 1, 2, 8, 0, 756 
1230373, 2, 68, 1, 2, 4, 0, 576 
1230373, 2, 69, 1, 2, 8, 0, 606 
1230373, 2, 70, 2, 1, 8, 0, 1202 
1230373, 2, 71, 1, 2, 16, 0, 617 
1230373, 2, 72, 2, 1, 4, 0, 906 
1230373, 2, 73, 1, 1, 8, 0, 976 
1230373, 2, 74, 2, 1, 8, 0, 1217 
1230373, 2, 75, 2, 2, 8, 0, 859 
1230373, 2, 76, 2, 1, 8, 0, 1525 
1230373, 2, 77, 2, 1, 4, 0, 641 
1230373, 2, 78, 1, 2, 8, 0, 745 
1230373, 2, 79, 2, 2, 8, 0, 699 
1230373, 2, 80, 2, 1, 16, 0, 2419 
1230373, 2, 81, 1, 2, 4, 0, 702 
1230373, 2, 82, 2, 2, 8, 0, 552 
1230373, 2, 83, 1, 1, 16, 0, 1579 
1230373, 2, 84, 1, 1, 4, 1, 807 
1230373, 2, 85, 1, 1, 8, 0, 1138 
1230373, 2, 86, 2, 2, 8, 0, 816 
1230373, 2, 87, 1, 1, 16, 0, 897 
1230373, 2, 88, 1, 2, 4, 0, 929 
1230373, 2, 89, 2, 2, 4, 0, 674 
1230373, 2, 90, 1, 1, 8, 0, 1187 
1230373, 2, 91, 2, 2, 16, 0, 730 
1230373, 2, 92, 2, 2, 4, 0, 968 
1230373, 2, 93, 1, 1, 4, 0, 1149 
1230373, 2, 94, 1, 1, 16, 0, 2019 
1230373, 2, 95, 1, 1, 16, 0, 1945 
1230373, 2, 96, 2, 1, 4, 0, 834 
1230373, 2, 97, 2, 1, 4, 0, 1747 
1230373, 2, 98, 1, 2, 16, 0, 782 
1230373, 2, 99, 2, 1, 8, 0, 1900 
1230373, 2, 100, 1, 2, 8, 0, 798 
1230373, 2, 101, 1, 2, 16, 0, 1199 
1230373, 2, 102, 1, 1, 16, 0, 1280 
1230373, 2, 103, 1, 1, 8, 0, 1137 
1230373, 2, 104, 1, 1, 4, 0, 769 
1230373, 2, 105, 2, 1, 4, 0, 1090 
1230373, 2, 106, 1, 2, 4, 0, 872 
1230373, 2, 107, 1, 1, 16, 0, 1955 
1230373, 2, 108, 1, 2, 8, 1, 787 
1230373, 2, 109, 2, 2, 16, 0, 730 
1230373, 2, 110, 2, 2, 8, 0, 756 
1230373, 2, 111, 1, 1, 4, 0, 1104 
1230373, 2, 112, 2, 2, 16, 0, 866 
1230373, 2, 113, 1, 2, 16, 0, 825 
1230373, 2, 114, 2, 2, 8, 0, 677 
1230373, 2, 115, 2, 1, 8, 0, 2355 
1230373, 2, 116, 2, 1, 4, 0, 902 
1230373, 2, 117, 1, 2, 16, 0, 752 
1230373, 2, 118, 1, 1, 4, 0, 918 
1230373, 2, 119, 2, 1, 16, 0, 2248 
1230373, 2, 120, 1, 2, 8, 0, 761 
1230373, 2, 121, 2, 2, 4, 0, 609 
1230373, 2, 122, 1, 2, 16, 0, 609 
1230373, 2, 123, 2, 1, 16, 0, 1741 
1230373, 2, 124, 2, 1, 4, 0, 673 
1230373, 2, 125, 1, 1, 8, 0, 930 
1230373, 2, 126, 2, 2, 4, 0, 723 
1230373, 2, 127, 2, 2, 4, 0, 1055 
1230373, 2, 128, 2, 1, 8, 0, 1230 
1230373, 2, 129, 1, 2, 8, 0, 681 
1230373, 2, 130, 2, 1, 16, 0, 652 
1230373, 2, 131, 1, 2, 4, 0, 1087 
1230373, 2, 132, 2, 1, 8, 0, 651 
1230373, 2, 133, 1, 2, 8, 0, 674 
1230373, 2, 134, 1, 1, 8, 0, 1387 
1230373, 2, 135, 2, 2, 16, 0, 759 
1230373, 2, 136, 2, 2, 16, 0, 677 
1230373, 2, 137, 1, 2, 8, 1, 523 
1230373, 2, 138, 2, 1, 16, 0, 2486 
1230373, 2, 139, 1, 1, 8, 1, 893 
1230373, 2, 140, 1, 1, 4, 0, 788 
1230373, 2, 141, 2, 1, 16, 0, 1914 
1230373, 2, 142, 2, 2, 16, 0, 948 
1230373, 2, 143, 2, 1, 8, 0, 1199 
1230373, 2, 144, 2, 2, 8, 0, 661 
1230373, 2, 145, 1, 2, 8, 0, 769 
1230373, 2, 146, 1, 1, 4, 0, 773 
1230373, 2, 147, 1, 2, 8, 0, 1005 
1230373, 2, 148, 1, 2, 8, 0, 659 
1230373, 2, 149, 2, 2, 8, 0, 717 
1230373, 2, 150, 1, 2, 4, 0, 565 
1230373, 2, 151, 2, 1, 16, 0, 2131 
1230373, 2, 152, 2, 1, 8, 0, 1262 
1230373, 2, 153, 1, 1, 4, 0, 747 
1230373, 2, 154, 2, 2, 8, 0, 603 
1230373, 2, 155, 1, 2, 16, 0, 722 
1230373, 2, 156, 1, 2, 16, 0, 647 
1230373, 2, 157, 1, 2, 16, 0, 707 
1230373, 2, 158, 2, 1, 4, 0, 1502 
1230373, 2, 159, 2, 1, 4, 0, 1076 
1230373, 2, 160, 1, 1, 16, 0, 1175 
1230373, 2, 161, 1, 2, 16, 0, 938 
1230373, 2, 162, 1, 1, 4, 0, 721 
1230373, 2, 163, 2, 1, 16, 0, 2108 
1230373, 2, 164, 2, 1, 8, 0, 1456 
