subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230394, 2, 218, 1, 1, 8, 0, 623 
1230394, 2, 219, 2, 1, 8, 0, 613 
1230394, 2, 220, 1, 2, 8, 1, 600 
1230394, 2, 221, 2, 2, 8, 0, 628 
1230394, 2, 222, 1, 1, 8, 0, 570 
1230394, 2, 223, 1, 2, 8, 0, 655 
1230394, 2, 224, 2, 1, 4, 0, 601 
1230394, 2, 225, 1, 2, 8, 0, 554 
1230394, 2, 226, 1, 1, 16, 0, 573 
1230394, 2, 227, 1, 2, 4, 0, 584 
1230394, 2, 228, 2, 1, 8, 0, 824 
1230394, 2, 229, 1, 2, 16, 0, 603 
1230394, 2, 230, 1, 2, 4, 0, 749 
1230394, 2, 231, 2, 1, 16, 0, 689 
1230394, 2, 232, 1, 1, 4, 0, 553 
1230394, 2, 233, 2, 2, 4, 0, 618 
1230394, 2, 234, 1, 1, 8, 0, 845 
1230394, 2, 235, 1, 1, 16, 0, 659 
1230394, 2, 236, 1, 2, 4, 0, 626 
1230394, 2, 237, 2, 1, 16, 0, 1028 
1230394, 2, 238, 1, 2, 16, 0, 568 
1230394, 2, 239, 1, 1, 4, 0, 502 
1230394, 2, 240, 1, 1, 16, 0, 471 

