MSG	11436071 TRIAL 10 START
MSG	11438186 DRIFTCORRECT L REPEATING due to large error
MSG	11441394 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.25 deg.  20.9,-40.0 pix.
MSG	11442152 RECCFG P 500 2 1 
MSG	11442152 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11442153 !MODE RECORD P 500 2 1
START	11442154 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11443108	  964.2	  597.3	  377.0	.
11443110	  963.6	  596.7	  377.0	.
11443112	  963.5	  596.4	  376.0	.
11443114	  963.5	  596.6	  376.0	.
11443116	  963.6	  596.6	  373.0	.
11443118	  963.7	  598.2	  375.0	.
11443120	  964.4	  598.0	  375.0	.
11443122	  963.9	  598.0	  376.0	.
11443124	  963.7	  597.7	  376.0	.
11443126	  963.4	  597.6	  376.0	.
11443128	  963.9	  594.9	  375.0	.
11443130	  964.3	  596.4	  375.0	.
11443132	  963.7	  597.6	  375.0	.
11443134	  964.1	  596.9	  375.0	.
11443136	  964.6	  596.0	  375.0	.
11443138	  963.8	  595.7	  375.0	.
11443140	  963.1	  595.2	  375.0	.
11443142	  962.8	  596.1	  375.0	.
11443144	  962.7	  596.2	  375.0	.
11443146	  962.1	  596.2	  374.0	.
11443148	  962.8	  596.1	  374.0	.
11443150	  962.9	  596.5	  373.0	.
11443152	  963.0	  595.0	  372.0	.
11443154	  963.0	  593.7	  372.0	.
11443156	  962.8	  593.6	  372.0	.
11443158	  962.6	  594.3	  373.0	.
11443160	  961.5	  594.8	  373.0	.
EFIX L   11442626	11443160	536	  961.1	  595.0	    423
SSACC L  11443162
11443162	  955.5	  593.9	  373.0	.
11443164	  954.3	  593.5	  372.0	.
11443166	  945.7	  592.6	  372.0	.
11443168	  932.9	  591.0	  373.0	.
11443170	  918.9	  588.3	  374.0	.
11443172	  906.2	  587.7	  374.0	.
11443174	  892.1	  586.0	  376.0	.
11443176	  879.5	  583.8	  379.0	.
11443178	  866.0	  582.1	  380.0	.
11443180	  853.2	  579.6	  380.0	.
11443182	  836.7	  578.5	  379.0	.
11443184	  823.7	  577.6	  379.0	.
11443186	  808.2	  575.3	  378.0	.
11443188	  789.5	  574.2	  373.0	.
11443190	  775.4	  574.0	  369.0	.
11443192	  761.6	  572.8	  369.0	.
11443194	  751.2	  572.3	  369.0	.
11443196	  740.3	  572.8	  369.0	.
11443198	  733.6	  572.5	  367.0	.
11443200	  730.5	  572.7	  367.0	.
ESACC L  11443162	11443200	40	  955.5	  593.9	  733.6	  572.5	   5.50	    189
SFIX L   11443202
11443202	  729.3	  572.7	  368.0	.
11443204	  728.2	  572.0	  370.0	.
11443206	  728.2	  571.8	  370.0	.
11443208	  727.8	  571.2	  370.0	.
11443210	  727.3	  570.6	  370.0	.
11443212	  727.6	  570.9	  370.0	.
11443214	  726.5	  571.1	  369.0	.
11443216	  725.4	  571.7	  369.0	.
11443218	  726.2	  570.6	  369.0	.
11443220	  727.1	  570.3	  369.0	.
11443222	  727.0	  570.4	  365.0	.
11443224	  726.8	  570.4	  365.0	.
11443226	  727.2	  570.9	  367.0	.
11443228	  727.5	  571.2	  367.0	.
11443230	  727.6	  571.9	  367.0	.
11443232	  727.9	  571.9	  367.0	.
11443234	  727.3	  572.1	  367.0	.
11443236	  727.5	  572.3	  368.0	.
11443238	  727.5	  571.5	  368.0	.
11443240	  727.6	  571.4	  369.0	.
11443242	  727.4	  571.4	  369.0	.
11443244	  727.6	  571.4	  368.0	.
11443246	  726.9	  571.9	  368.0	.
